ntsb_no,aircraft_key,ev_date,ev_month,ev_weekday,latitude,longitude,ev_city,ev_state,ev_country,inj_tot_f,inj_tot_s,ev_highest_injury,damage,far_part,acft_category,type_fly,CICTTEvent,CICTTPhase
WPR15LA168,1,5/27/2015,5,Wednesday,353633N,1192611W,Wasco,CA,USA,1,0,FATL,SUBS,137 ,HELI,AAPL,UNK,MNV
GAA15CA089,1,5/26/2015,5,Tuesday,474128N,1142238W,Polson,MT,USA,0,0,NONE,SUBS,137 ,AIR ,AAPL,LOC-I,MNV
GAA15CA096,1,5/28/2015,5,Thursday,390721N,1083136W,Grand Junction,CO,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LALT,ENR
CEN15LA242,1,5/27/2015,5,Wednesday,464123N,0920541W,Superior,WI,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,OTHR,ICL
ANC15CA031,1,5/27/2015,5,Wednesday,613558N,1490515W,Palmer,AK,USA,0,0,NONE,SUBS,091 ,AIR ,INST,ARC,LDG
GAA15LA092,1,5/24/2015,5,Sunday,364357N,1194915W,Fresno,CA,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,ARC,LDG
GAA15CA093,1,5/23/2015,5,Saturday,412039N,0821040W,Lorain/Elyria,OH,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,RE,LDG
ERA15LA224,1,5/27/2015,5,Wednesday,280625N,0803935W,Melbourne,FL,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOC-G,TXI
GAA15CA094,1,5/25/2015,5,Monday,404510N,0824328W,Galion,OH,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOC-I,LDG
GAA15CA095,1,5/25/2015,5,Monday,413056N,0751506W,Honesdale,PA,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOC-G,LDG
ERA15LA225,1,5/23/2015,5,Saturday,253835N,0802559W,Miami,FL,USA,0,0,NONE,SUBS,091 ,AIR ,INST,ARC,LDG
CEN15LA252,1,4/26/2015,4,Sunday,304109N,0950105W,Livingston,TX,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOLI,APR
CEN15LA243,1,5/26/2015,5,Tuesday,342848N,1015512W,Tulia,TX,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,SCF-PP,ENR
GAA15CA097,1,5/28/2015,5,Thursday,442938N,1004446W,Fort Pierre,SD,USA,0,0,NONE,SUBS,137 ,HELI,AAPL,OTHR,EMG
CEN15FA245,1,5/29/2015,5,Friday,340956N,1014256W,Plainview,TX,USA,3,0,FATL,DEST,091 ,AIR ,PERS,LOC-I,TOF
GAA15CA098,1,5/30/2015,5,Saturday,360126N,0803102W,Mocksville,NC,USA,0,0,NONE,SUBS,091 ,GLI ,INST,RE,LDG
ANC15FA032,1,5/30/2015,5,Saturday,601957N,1610316W,Bethel,AK,USA,1,0,FATL,SUBS,091 ,AIR ,FLTS,LALT,UNK
CEN15CA246,1,5/28/2015,5,Thursday,321607N,0914153W,Winnsboro,LA,USA,0,0,NONE,SUBS,137 ,AIR ,AAPL,USOS,LDG
WPR15CA173,1,5/31/2015,5,Sunday,463000N,1044760W,Ismay,MT,USA,0,0,NONE,SUBS,137 ,AIR ,AAPL,LOC-G,TOF
GAA15CA100,1,5/27/2015,5,Wednesday,384410N,1120601W,Richfield,UT,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,ARC,LDG
WPR15FA174,1,6/1/2015,6,Monday,374315N,1214536W,Livermore,CA,USA,1,0,FATL,DEST,091 ,AIR ,PERS,LOC-I,MNV
ERA15LA232,1,6/1/2015,6,Monday,314231N,0874637W,Grove Hill,AL,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,SCF-PP,ENR
WPR15LA176,1,6/2/2015,6,Tuesday,333519N,1143958W,Blythe,CA,USA,1,0,FATL,DEST,137 ,AIR ,AAPL,LOC-I,MNV
GAA15CA102,1,5/29/2015,5,Friday,424921N,0852929W,Caledonia,MI,USA,0,0,NONE,SUBS,091 ,HELI,AOBV,LOC-I,MNV
CEN15FA249,1,6/2/2015,6,Tuesday,435933N,0883245W,Oshkosh,WI,USA,2,0,FATL,SUBS,091 ,AIR ,PERS,LOC-I,MNV
