PCA_1,PCA_2,ntsb_no,aircraft_key,ev_date,ev_month,ev_weekday,latitude,longitude,ev_city,ev_state,ev_country,inj_tot_f,inj_tot_s,ev_highest_injury,damage,far_part,acft_category,type_fly,CICTTEvent,CICTTPhase
0.76078999,-0.760792462,WPR15LA242,1,8/13/2015,8,Thursday,372560N,1304960W,,PO,USA,1,0,FATL,DEST,91,AIR ,PERS,UNK,ENR
0.863502953,-0.024203126,ERA15FA312,1,8/15/2015,8,Saturday,405148N,0741659W,West Caldwell,NJ,USA,1,0,FATL,DEST,91,AIR ,POSI,SCF-PP,STD
-0.443812454,1.187421491,ERA15LA314,1,8/13/2015,8,Thursday,350327N,0772748W,Trenton,NC,USA,0,0,NONE,SUBS,137,AIR ,AAPL,ARC,LDG
0.711924889,-0.81666568,WPR15MA243,1,8/16/2015,8,Sunday,323439N,1165656W,San Diego,CA,USA,5,0,FATL,DEST,91,AIR ,PERS,MAC,APR
0.328779116,0.228182784,WPR15MA243,2,8/16/2015,8,Sunday,323439N,1165656W,San Diego,CA,USA,5,0,FATL,SUBS,91,AIR ,OWRK,MAC,APR
0.352442661,-0.512242234,ERA15LA318,1,8/17/2015,8,Monday,292611N,0825644W,Chiefland,FL,USA,0,0,NONE,SUBS,91,AIR ,PERS,SCF-PP,ENR
0.68142159,-0.929228804,ANC15CA064,1,8/15/2015,8,Saturday,675837N,1494509W,Coldfoot,AK,USA,0,0,NONE,DEST,91,AIR ,PERS,FUEL,ENR
1.100608182,0.274045995,CEN15FA362,1,8/17/2015,8,Monday,260952N,0981357W,McAllen,TX,USA,2,0,FATL,DEST,91,AIR ,INST,LOC-I,ICL
0.25802584,-0.42390151,CEN15LA360,1,8/14/2015,8,Friday,321641N,1065420W,Las Cruces,NM,USA,1,0,FATL,SUBS,91,AIR ,PERS,SCF-PP,ICL
0.158543532,-0.382884571,CEN15LA361,1,8/11/2015,8,Tuesday,394543N,0930048W,Brookfield,MO,USA,0,0,NONE,SUBS,91,AIR ,PERS,FUEL,APR
-0.581971611,-0.178334209,GAA15CA226,1,8/4/2015,8,Tuesday,374013N,0980733W,Kingman,KS,USA,0,0,NONE,SUBS,91,AIR ,PERS,SCF-NP,LDG
0.389698467,0.146056802,GAA15CA227,1,7/15/2015,7,Wednesday,432514N,0825239W,Sandusky,MI,USA,0,0,NONE,SUBS,91,HELI,PERS,CTOL,APR
0.300557495,-0.327292162,CEN15LA366,1,8/2/2015,8,Sunday,312257N,1033039W,Pecos,TX,USA,0,0,NONE,SUBS,91,AIR ,PERS,FUEL,MNV
-0.882658582,-0.097162322,GAA15CA228,1,8/14/2015,8,Friday,412214N,0732859W,Danbury,CT,USA,0,0,NONE,SUBS,91,AIR ,PERS,ARC,LDG
-0.943812244,-0.292879072,GAA15CA229,1,8/15/2015,8,Saturday,384639N,0840013W,Augusta,KY,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,LDG
